# Cycle: 0, status: ACC
#     Step              Filename       index    vel
         0            frame0.gro           0      1
         1            frame1.gro           0      1
         2           frame10.gro           0      1
         3          frame100.gro           0      1
         4          frame101.gro           0      1
         5          frame102.gro           0      1
         6          frame103.gro           0      1
         7          frame104.gro           0      1
         8          frame105.gro           0      1
         9          frame106.gro           0      1
        10          frame107.gro           0      1
        11          frame108.gro           0      1
        12          frame109.gro           0      1
        13           frame11.gro           0      1
        14          frame110.gro           0      1
        15          frame111.gro           0      1
        16          frame112.gro           0      1
        17          frame113.gro           0      1
        18          frame114.gro           0      1
        19          frame115.gro           0      1
        20          frame116.gro           0      1
        21          frame117.gro           0      1
        22          frame118.gro           0      1
        23          frame119.gro           0      1
        24           frame12.gro           0      1
        25          frame120.gro           0      1
        26          frame121.gro           0      1
        27          frame122.gro           0      1
        28          frame123.gro           0      1
        29          frame124.gro           0      1
        30          frame125.gro           0      1
        31          frame126.gro           0      1
        32          frame127.gro           0      1
        33          frame128.gro           0      1
        34          frame129.gro           0      1
        35           frame13.gro           0      1
        36          frame130.gro           0      1
        37          frame131.gro           0      1
        38          frame132.gro           0      1
        39          frame133.gro           0      1
        40          frame134.gro           0      1
        41          frame135.gro           0      1
        42          frame136.gro           0      1
        43          frame137.gro           0      1
        44          frame138.gro           0      1
        45          frame139.gro           0      1
        46           frame14.gro           0      1
        47          frame140.gro           0      1
        48          frame141.gro           0      1
        49          frame142.gro           0      1
        50          frame143.gro           0      1
        51          frame144.gro           0      1
        52          frame145.gro           0      1
        53          frame146.gro           0      1
        54          frame147.gro           0      1
        55          frame148.gro           0      1
        56          frame149.gro           0      1
        57           frame15.gro           0      1
        58          frame150.gro           0      1
        59          frame151.gro           0      1
        60          frame152.gro           0      1
        61          frame153.gro           0      1
        62          frame154.gro           0      1
        63          frame155.gro           0      1
        64          frame156.gro           0      1
        65          frame157.gro           0      1
        66          frame158.gro           0      1
        67          frame159.gro           0      1
        68           frame16.gro           0      1
        69          frame160.gro           0      1
        70          frame161.gro           0      1
        71          frame162.gro           0      1
        72          frame163.gro           0      1
        73          frame164.gro           0      1
        74          frame165.gro           0      1
        75          frame166.gro           0      1
        76          frame167.gro           0      1
        77          frame168.gro           0      1
        78          frame169.gro           0      1
        79           frame17.gro           0      1
        80          frame170.gro           0      1
        81          frame171.gro           0      1
        82          frame172.gro           0      1
        83          frame173.gro           0      1
        84          frame174.gro           0      1
        85          frame175.gro           0      1
        86          frame176.gro           0      1
        87          frame177.gro           0      1
        88          frame178.gro           0      1
        89          frame179.gro           0      1
        90           frame18.gro           0      1
        91          frame180.gro           0      1
        92          frame181.gro           0      1
        93          frame182.gro           0      1
        94          frame183.gro           0      1
        95          frame184.gro           0      1
        96          frame185.gro           0      1
        97          frame186.gro           0      1
        98          frame187.gro           0      1
        99          frame188.gro           0      1
       100          frame189.gro           0      1
       101           frame19.gro           0      1
       102          frame190.gro           0      1
       103          frame191.gro           0      1
       104          frame192.gro           0      1
       105          frame193.gro           0      1
       106          frame194.gro           0      1
       107          frame195.gro           0      1
       108          frame196.gro           0      1
       109          frame197.gro           0      1
       110          frame198.gro           0      1
       111          frame199.gro           0      1
       112            frame2.gro           0      1
       113           frame20.gro           0      1
       114          frame200.gro           0      1
       115          frame201.gro           0      1
       116          frame202.gro           0      1
       117          frame203.gro           0      1
       118          frame204.gro           0      1
       119          frame205.gro           0      1
       120          frame206.gro           0      1
       121          frame207.gro           0      1
       122          frame208.gro           0      1
       123          frame209.gro           0      1
       124           frame21.gro           0      1
       125          frame210.gro           0      1
       126          frame211.gro           0      1
       127          frame212.gro           0      1
       128          frame213.gro           0      1
       129          frame214.gro           0      1
       130          frame215.gro           0      1
       131          frame216.gro           0      1
       132          frame217.gro           0      1
       133          frame218.gro           0      1
       134          frame219.gro           0      1
       135           frame22.gro           0      1
       136          frame220.gro           0      1
       137          frame221.gro           0      1
       138          frame222.gro           0      1
       139          frame223.gro           0      1
       140          frame224.gro           0      1
       141          frame225.gro           0      1
       142          frame226.gro           0      1
       143          frame227.gro           0      1
       144          frame228.gro           0      1
       145          frame229.gro           0      1
       146           frame23.gro           0      1
       147          frame230.gro           0      1
       148          frame231.gro           0      1
       149          frame232.gro           0      1
       150          frame233.gro           0      1
       151          frame234.gro           0      1
       152          frame235.gro           0      1
       153          frame236.gro           0      1
       154          frame237.gro           0      1
       155          frame238.gro           0      1
       156          frame239.gro           0      1
       157           frame24.gro           0      1
       158          frame240.gro           0      1
       159          frame241.gro           0      1
       160          frame242.gro           0      1
       161          frame243.gro           0      1
       162          frame244.gro           0      1
       163          frame245.gro           0      1
       164          frame246.gro           0      1
       165          frame247.gro           0      1
       166          frame248.gro           0      1
       167          frame249.gro           0      1
       168           frame25.gro           0      1
       169          frame250.gro           0      1
       170          frame251.gro           0      1
       171          frame252.gro           0      1
       172          frame253.gro           0      1
       173          frame254.gro           0      1
       174          frame255.gro           0      1
       175          frame256.gro           0      1
       176          frame257.gro           0      1
       177          frame258.gro           0      1
